UDI,Product_ID,Type,Air_Temp,Process_Temp,Rotational_Speed,Torque,Tool_Wear,Machine_Failure,TWF,HDF,PWF,OSF,RNF,FFT_Max_Amplitude,FFT_Dominant_Peak
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,71.45768942478601,26
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,45.39704617921508,24
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,65.70739593358851,25
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,63.1633491777307,24
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,49.7237145017348,24
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,58.50535855411617,24
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,55.52451454298032,26
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,49.25932858153898,26
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,66.83291402272333,28
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,64.66274337403951,29
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,61.53077020412339,30
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,68.15419605062782,24
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,40.2955807729611,23
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,56.73124449596324,29
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,59.83033405296491,34
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,60.1283294659275,26
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,64.40556456028432,22
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,56.726972425871296,24
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,59.95140583339193,22
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,45.4424641003067,27
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,69.68883731602129,23
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,49.754210786097275,24
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,44.10058588375944,27
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,44.63391000992696,30
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,62.00191527803867,26
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,58.27822837125822,31
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,49.45022004895438,25
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,43.69454731773671,30
